              subj_id      erde
200  test_subject8889  0.000000
201  test_subject7451  0.129676
202   test_subject211  0.000000
203  test_subject8409  0.000000
204   test_subject497  0.129676
205   test_subject680  0.000000
206  test_subject7829  0.129676
207  test_subject6772  0.000000
208  test_subject4937  0.000000
209  test_subject5061  0.000000
210  test_subject3744  0.000000
211  test_subject2284  0.000000
212  test_subject1572  0.000000
213  test_subject9062  0.000000
214  test_subject8493  0.000000
215  test_subject9371  0.129676
216  test_subject3928  0.000000
217  test_subject6491  0.000000
218   test_subject436  0.000000
219  test_subject4407  0.000000
220  test_subject4261  0.000000
221  test_subject4766  0.000000
222  test_subject6469  0.129676
223  test_subject4276  0.000000
224  test_subject3172  0.000000
225  test_subject7756  0.000000
226  test_subject2454  0.000000
227  test_subject2093  0.000000
228  test_subject7775  0.000000
229  test_subject9635  0.000000
230  test_subject2154  0.000000
231  test_subject4494  0.000000
232  test_subject2180  0.000000
233   test_subject145  0.000000
234  test_subject9582  0.000000
235  test_subject7558  0.000000
236  test_subject8820  0.129676
237  test_subject9737  0.000000
238   test_subject752  0.000000
239  test_subject3406  0.000000
240  test_subject1376  0.000000
241  test_subject4891  0.000000
242  test_subject9300  0.000000
243  test_subject7503  0.000000
244  test_subject3927  0.129676
245  test_subject8391  0.000000
246  test_subject6067  0.000000
247  test_subject1005  0.000000
248  test_subject2270  0.000000
249  test_subject3273  0.000000
250  test_subject2359  0.000000
251  test_subject1620  0.000000
252  test_subject1359  0.000000
253  test_subject1830  0.000000
254  test_subject7934  0.000000
255  test_subject7075  0.000000
256  test_subject4291  0.000000
257  test_subject2397  0.000000
258  test_subject2101  0.000000
259  test_subject9320  0.000000
260  test_subject1919  0.000000
261  test_subject5034  0.000000
262  test_subject5859  0.000000
263  test_subject3336  0.000000
264  test_subject4679  0.000000
265    test_subject50  0.000000
266  test_subject3635  0.000000
267  test_subject1381  0.000000
268  test_subject4930  0.000000
269   test_subject306  0.000000
270  test_subject1896  0.000000
271  test_subject7026  0.000000
272  test_subject8498  0.000000
273  test_subject4565  0.000000
274  test_subject5525  0.000000
275  test_subject9446  0.000000
276  test_subject4293  0.000000
277  test_subject5688  0.000000
278  test_subject8399  0.129676
279  test_subject6092  0.129676
280  test_subject1798  0.000000
281  test_subject7073  0.000000
282  test_subject2034  0.000000
283  test_subject2336  0.000000
284    test_subject74  0.000000
285  test_subject1878  0.000000
286  test_subject6569  0.000000
287   test_subject499  0.000000
288  test_subject8362  0.129676
289  test_subject8944  0.000000
290  test_subject3185  0.000000
291  test_subject6809  0.000000
292  test_subject8481  0.000000
293  test_subject2186  0.000000
294  test_subject4435  0.000000
295  test_subject4227  0.000000
296  test_subject1448  0.000000
297  test_subject9069  0.000000
298  test_subject3702  0.000000
299  test_subject2886  0.000000
300   test_subject937  0.000000
301  test_subject1103  0.000000
302  test_subject9879  0.000000
303  test_subject6620  0.000000
304  test_subject3791  0.000000
305  test_subject7730  0.000000
306  test_subject1304  0.000000
307  test_subject8276  0.000000
308  test_subject2389  0.000000
309  test_subject2990  0.000000
310  test_subject2483  0.000000
311  test_subject5601  0.000000
312  test_subject6436  0.000000
313  test_subject2674  0.000000
314  test_subject5266  0.000000
315  test_subject4053  0.000000
316  test_subject3655  0.000000
317  test_subject3921  0.000000
318  test_subject6208  0.000000
319  test_subject4139  0.000000
320  test_subject8049  0.000000
321  test_subject3175  0.000000
322  test_subject2425  0.000000
323  test_subject3919  0.000000
324  test_subject6558  0.000000
325  test_subject3023  0.000000
326  test_subject5732  0.000000
327  test_subject5489  0.000000
328   test_subject954  0.000000
329  test_subject2277  0.000000
330  test_subject4255  0.000000
331  test_subject6899  0.000000
332  test_subject3107  0.000000
333  test_subject1372  0.000000
334  test_subject9736  0.000000
335  test_subject3026  0.000000
336  test_subject6267  0.000000
337  test_subject2476  0.129676
338   test_subject771  0.000000
339  test_subject9802  0.000000
340  test_subject9451  0.000000
341  test_subject7609  0.000000
342   test_subject201  0.000000
343  test_subject2465  0.000000
344  test_subject7521  0.000000
345   test_subject748  0.000000
346  test_subject3081  0.000000
347  test_subject2667  0.000000
348   test_subject773  0.000000
349  test_subject3592  0.000000
350   test_subject857  0.000000
351  test_subject8981  0.129676
352  test_subject1246  0.000000
353  test_subject8434  0.000000
354  test_subject9670  0.000000
355  test_subject7987  0.000000
356  test_subject2689  0.000000
357  test_subject4978  0.000000
358  test_subject1222  0.000000
359  test_subject7070  0.000000
360  test_subject3827  0.000000
361  test_subject5563  0.000000
362    test_subject96  0.000000
363  test_subject6459  0.000000
364  test_subject8901  0.000000
365  test_subject4671  0.000000
366  test_subject3547  0.000000
367  test_subject2286  0.129676
368  test_subject3366  0.000000
369  test_subject7254  0.000000
370  test_subject5413  0.129676
371  test_subject7685  0.000000
372  test_subject7101  0.000000
373  test_subject3665  0.129676
374  test_subject8881  0.000000
375  test_subject9533  0.129676
376   test_subject834  0.129676
377  test_subject5989  0.000000
378  test_subject8648  0.000000
379  test_subject8830  0.000000
380  test_subject7733  0.000000
381  test_subject1730  0.000000
382  test_subject2183  0.000000
383  test_subject8142  0.000000
384  test_subject2027  0.129676
385  test_subject6167  0.000000
386  test_subject7513  0.000000
387  test_subject5967  0.000000
388   test_subject655  0.000000
389  test_subject8710  0.000000
390  test_subject7864  0.000000
391  test_subject3493  0.000000
392   test_subject135  0.000000
393  test_subject2459  0.129676
394  test_subject2973  0.000000
395   test_subject395  0.000000
396   test_subject759  0.000000
397  test_subject6364  0.000000
398  test_subject1849  0.000000
399   test_subject348  0.000000
400  test_subject3834  0.000000
Global ERDE (with o = 5): 12.96 %
F1: 0.26
Precision: 0.31
Recall: 0.23
